조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),TN(㎎/L),TP(㎎/L),수위(EL.m),저수량(백만㎥),저수율(%),강우량(mm),유입량(㎥/s),총방류량(㎥/s),지점,평균기온(°C),일강수량(mm),합계 일조시간(hr),합계 일사량(MJ/m2),NP_Ratio,Retention_Index,채수위치,유해남조류 세포수 (cells/㎖)
2026-01-28,6.685714285714286,7.457142857142857,10.842857142857142,3.9285714285714284,1.4,4.514285714285714,1.405310344827586,0.008551724137931035,73.78121428571428,1025.2353142857144,68.81142857142858,0.0195,18.498,33.15314285714286,133.0,-1.7142857142857144,0.8571428571428571,4.1,8.237142857142857,165.17337164750958,30.925426091747813,추동,173.71428571428572
2026-01-29,6.242857142857143,7.4714285714285715,11.114285714285714,4.228571428571429,1.4285714285714286,4.5285714285714285,1.5,0.007,73.75777142857143,1023.8335714285714,68.71714285714286,0.015600000000000001,18.576,33.199714285714286,133.0,-2.071428571428571,0.9857142857142857,4.2,8.575714285714286,214.28571428571428,30.840062912576347,회남,244.57142857142856
2026-01-29,6.942857142857143,7.285714285714286,9.585714285714285,2.8000000000000003,1.6,3.1142857142857143,1.4177142857142857,0.019571428571428573,73.75777142857143,1023.8335714285714,68.71714285714286,0.015600000000000001,18.576,33.199714285714286,133.0,-2.071428571428571,0.9857142857142857,4.2,8.575714285714286,76.46708074534162,30.840062912576347,문의,64.28571428571429
2026-01-29,6.5285714285714285,7.485714285714286,10.914285714285713,4.142857142857143,1.4,4.371428571428571,1.4025172413793103,0.008586206896551724,73.75777142857143,1023.8335714285714,68.71714285714286,0.015600000000000001,18.576,33.199714285714286,133.0,-2.071428571428571,0.9857142857142857,4.2,8.575714285714286,164.16858237547893,30.840062912576347,추동,192.57142857142856
2026-01-30,6.057142857142857,7.5285714285714285,11.185714285714287,4.371428571428571,1.3714285714285714,4.4714285714285715,1.5,0.007,73.73432857142858,1022.4318285714286,68.62285714285714,0.0117,18.654,33.24628571428572,133.0,-2.428571428571429,1.1142857142857143,4.3,8.914285714285715,214.28571428571428,30.754699733404884,회남,206.42857142857142
2026-01-30,6.371428571428572,7.514285714285714,10.985714285714286,4.357142857142857,1.4,4.228571428571429,1.3997241379310346,0.008620689655172414,73.73432857142858,1022.4318285714286,68.62285714285714,0.0117,18.654,33.24628571428572,133.0,-2.428571428571429,1.1142857142857143,4.3,8.914285714285715,163.16379310344828,30.754699733404884,추동,211.42857142857144
2026-01-30,6.757142857142857,7.314285714285715,9.714285714285714,2.9000000000000004,1.6,3.1857142857142855,1.4362857142857144,0.01842857142857143,73.73432857142858,1022.4318285714286,68.62285714285714,0.0117,18.654,33.24628571428572,133.0,-2.428571428571429,1.1142857142857143,4.3,8.914285714285715,82.21697722567288,30.754699733404884,문의,85.71428571428572
2026-01-31,6.214285714285714,7.542857142857143,11.057142857142857,4.571428571428571,1.4,4.085714285714285,1.3969310344827586,0.008655172413793103,73.71088571428572,1021.0300857142857,68.52857142857142,0.007800000000000001,18.732,33.292857142857144,133.0,-2.7857142857142856,1.2428571428571429,4.3999999999999995,9.252857142857142,162.15900383141764,30.669336554233418,추동,230.28571428571428
2026-01-31,5.871428571428571,7.585714285714285,11.257142857142858,4.514285714285714,1.3142857142857143,4.414285714285715,1.5,0.007,73.71088571428572,1021.0300857142857,68.52857142857142,0.007800000000000001,18.732,33.292857142857144,133.0,-2.7857142857142856,1.2428571428571429,4.3999999999999995,9.252857142857142,214.28571428571428,30.669336554233418,회남,168.28571428571428
2026-01-31,6.571428571428571,7.342857142857143,9.842857142857142,3.0,1.6,3.257142857142857,1.4548571428571428,0.017285714285714286,73.71088571428572,1021.0300857142857,68.52857142857142,0.007800000000000001,18.732,33.292857142857144,133.0,-2.7857142857142856,1.2428571428571429,4.3999999999999995,9.252857142857142,87.96687370600415,30.669336554233418,문의,107.14285714285715
2026-02-01,6.057142857142857,7.571428571428571,11.128571428571428,4.785714285714286,1.4,3.9428571428571426,1.3941379310344828,0.008689655172413793,73.68744285714286,1019.6283428571428,68.43428571428572,0.0039000000000000007,18.810000000000002,33.33942857142858,133.0,-3.142857142857143,1.3714285714285714,4.5,9.59142857142857,161.154214559387,30.583973375061955,추동,249.14285714285714
2026-02-01,5.685714285714286,7.642857142857143,11.32857142857143,4.657142857142857,1.2571428571428571,4.357142857142857,1.5,0.007,73.68744285714286,1019.6283428571428,68.43428571428572,0.0039000000000000007,18.810000000000002,33.33942857142858,133.0,-3.142857142857143,1.3714285714285714,4.5,9.59142857142857,214.28571428571428,30.583973375061955,회남,130.14285714285714
2026-02-01,6.385714285714286,7.371428571428572,9.971428571428572,3.1,1.6,3.3285714285714283,1.4734285714285715,0.016142857142857143,73.68744285714286,1019.6283428571428,68.43428571428572,0.0039000000000000007,18.810000000000002,33.33942857142858,133.0,-3.142857142857143,1.3714285714285714,4.5,9.59142857142857,93.7167701863354,30.583973375061955,문의,128.57142857142858
2026-02-02,5.9,7.6,11.2,5.0,1.4,3.8,1.3913448275862068,0.008724137931034482,73.664,1018.2266,68.34,0.0,18.888,33.386,133.0,-3.5,1.5,4.6,9.93,160.14942528735634,30.49861019589049,추동,268.0
2026-02-02,5.5,7.7,11.4,4.8,1.2,4.3,1.5,0.007,73.664,1018.2266,68.34,0.0,18.888,33.386,133.0,-3.5,1.5,4.6,9.93,214.28571428571428,30.49861019589049,회남,92.0
2026-02-02,6.2,7.4,10.1,3.2,1.6,3.4,1.492,0.015,73.664,1018.2266,68.34,0.0,18.888,33.386,133.0,-3.5,1.5,4.6,9.93,99.46666666666667,30.49861019589049,문의,150.0
2026-02-03,5.457142857142857,7.685714285714286,11.414285714285715,4.785714285714286,1.2571428571428571,4.357142857142857,1.5,0.007,73.63914285714286,1016.7488999999999,68.24000000000001,0.17534285714285716,18.084714285714288,33.25685714285714,133.0,-3.2714285714285714,1.6285714285714286,4.957142857142856,10.195714285714285,214.28571428571428,30.574374547210716,회남,97.14285714285714
2026-02-03,6.128571428571429,7.4,10.142857142857142,3.242857142857143,1.7142857142857144,3.357142857142857,1.4755714285714285,0.014,73.63914285714286,1016.7488999999999,68.24000000000001,0.17534285714285716,18.084714285714288,33.25685714285714,133.0,-3.2714285714285714,1.6285714285714286,4.957142857142856,10.195714285714285,109.84642857142858,30.574374547210716,문의,160.85714285714286
2026-02-03,5.742857142857143,7.6,11.285714285714285,4.857142857142857,1.4,3.728571428571428,1.388551724137931,0.008758620689655171,73.63914285714286,1016.7488999999999,68.24000000000001,0.17534285714285716,18.084714285714288,33.25685714285714,133.0,-3.2714285714285714,1.6285714285714286,4.957142857142856,10.195714285714285,159.14463601532566,30.574374547210716,추동,262.0
2026-02-04,6.057142857142857,7.4,10.185714285714285,3.285714285714286,1.8285714285714285,3.314285714285714,1.459142857142857,0.013,73.61428571428571,1015.2712,68.14,0.3506857142857143,17.281428571428574,33.12771428571429,133.0,-3.0428571428571427,1.7571428571428571,5.314285714285714,10.461428571428572,120.22619047619048,30.65013889853094,문의,171.71428571428572
2026-02-04,5.585714285714286,7.6,11.371428571428572,4.714285714285714,1.4,3.657142857142857,1.385758620689655,0.008793103448275861,73.61428571428571,1015.2712,68.14,0.3506857142857143,17.281428571428574,33.12771428571429,133.0,-3.0428571428571427,1.7571428571428571,5.314285714285714,10.461428571428572,158.139846743295,30.65013889853094,추동,256.0
2026-02-04,5.414285714285715,7.671428571428572,11.428571428571429,4.771428571428571,1.3142857142857143,4.414285714285715,1.5,0.007,73.61428571428571,1015.2712,68.14,0.3506857142857143,17.281428571428574,33.12771428571429,133.0,-3.0428571428571427,1.7571428571428571,5.314285714285714,10.461428571428572,214.28571428571428,30.65013889853094,회남,102.28571428571428
2026-02-05,5.985714285714286,7.4,10.228571428571428,3.3285714285714287,1.9428571428571428,3.2714285714285714,1.4427142857142856,0.012,73.58942857142857,1013.7935,68.04,0.5260285714285715,16.478142857142856,32.99857142857143,133.0,-2.814285714285714,1.8857142857142857,5.671428571428571,10.727142857142857,130.60595238095237,30.725903249851168,문의,182.57142857142856
2026-02-05,5.428571428571429,7.6,11.457142857142857,4.571428571428571,1.4,3.5857142857142854,1.3829655172413793,0.00882758620689655,73.58942857142857,1013.7935,68.04,0.5260285714285715,16.478142857142856,32.99857142857143,133.0,-2.814285714285714,1.8857142857142857,5.671428571428571,10.727142857142857,157.13505747126436,30.725903249851168,추동,250.0
2026-02-05,5.371428571428572,7.6571428571428575,11.442857142857143,4.757142857142857,1.3714285714285714,4.4714285714285715,1.5,0.007,73.58942857142857,1013.7935,68.04,0.5260285714285715,16.478142857142856,32.99857142857143,133.0,-2.814285714285714,1.8857142857142857,5.671428571428571,10.727142857142857,214.28571428571428,30.725903249851168,회남,107.42857142857143
