조사일,채수위치,TN(㎎/L),TP(㎎/L)
2025-06-02,문의,1.205,0.01
2025-06-09,문의,1.282,0.012
2025-06-11,추동,1.05,0.003
2025-06-11,회남,1.317,0.012
2025-06-16,문의,1.19,0.021
2025-06-23,문의,1.236,0.035
2025-06-30,문의,1.079,0.01
2025-07-02,추동,1.053,0.02
2025-07-02,회남,2.562,0.026
2025-07-07,문의,0.94,0.017
2025-07-14,문의,1.182,0.021
2025-07-21,문의,1.135,0.031
2025-07-28,문의,1.137,0.042
2025-08-04,문의,1.262,0.036
2025-08-06,추동,0.967,0.029
2025-08-06,회남,1.796,0.03
2025-08-11,문의,1.307,0.02
2025-08-18,문의,1.065,0.027
2025-08-25,문의,1.265,0.026
2025-09-01,문의,1.297,0.022
