"盒幅锅龋","螟沥家疙","斥/岿/老","雀瞒","版档","困档","盲荐矫阿","TN(Х/L)","TP(Х/L)"
"3008B30","措没达5(措没龋)","2016/06/01","1雀瞒 惑摸何","127∑33'9.3""","36∑25'59.2""","12:00","3.270","0.010"
"3008B20","措没达6","2016/06/01","1雀瞒 惑摸何","127∑33'25.1""","36∑23'18.6""","11:35","2.662","0.013"
"3008B60","措没达2","2016/06/01","1雀瞒 吝摸何","127∑29'5.4""","36∑28'37""","12:35","2.354","0.007"
"3008B50","措没达3","2016/06/01","1雀瞒 吝摸何","127∑30'23.8""","36∑30'43.2""","13:00","2.477","0.023"
"3008B10","措没达4","2016/06/01","1雀瞒 吝摸何","127∑38'8.4""","36∑22'18.5""","11:05","2.550","0.026"
"3008B30","措没达5(措没龋)","2016/06/01","1雀瞒 吝摸何","127∑33'9.3""","36∑25'59.2""","12:00","3.129","0.011"
"3008B20","措没达6","2016/06/01","1雀瞒 吝摸何","127∑33'25.1""","36∑23'18.6""","11:35","3.036","0.020"
"3008B60","措没达2","2016/06/01","1雀瞒 窍摸何","127∑29'5.4""","36∑28'37""","12:35","2.314","0.008"
"3008B50","措没达3","2016/06/01","1雀瞒 窍摸何","127∑30'23.8""","36∑30'43.2""","13:00","2.700","0.011"
"3008B10","措没达4","2016/06/01","1雀瞒 窍摸何","127∑38'8.4""","36∑22'18.5""","11:05","2.715","0.022"
"3008B30","措没达5(措没龋)","2016/06/01","1雀瞒 窍摸何","127∑33'9.3""","36∑25'59.2""","12:00","2.996","0.010"
"3008B20","措没达6","2016/06/01","1雀瞒 窍摸何","127∑33'25.1""","36∑23'18.6""","11:35","3.131","0.010"
"3008B40","措没达1","2016/06/07","2雀瞒","127∑29'44""","36∑22'16""","14:25","1.687","0.007"
"3008B40","措没达1","2016/06/13","3雀瞒","127∑29'44""","36∑22'16""","14:00","1.299","0.006"
"3008B40","措没达1","2016/06/20","4雀瞒","127∑29'44""","36∑22'16""","13:45","1.604","0.006"
"3008B40","措没达1","2016/06/27","5雀瞒","127∑29'44""","36∑22'16""","14:45","1.273","0.010"
"3008B60","措没达2","2016/07/05","1雀瞒 惑摸何","127∑29'5.4""","36∑28'37""","15:50","2.403","0.013"
"3008B50","措没达3","2016/07/05","1雀瞒 惑摸何","127∑30'23.8""","36∑30'43.2""","16:10","2.344","0.035"
"3008B10","措没达4","2016/07/05","1雀瞒 惑摸何","127∑38'8.4""","36∑22'18.5""","14:30","3.049","0.124"
"3008B30","措没达5(措没龋)","2016/07/05","1雀瞒 惑摸何","127∑33'9.3""","36∑25'59.2""","15:15","2.026","0.044"
"3008B20","措没达6","2016/07/05","1雀瞒 惑摸何","127∑33'25.1""","36∑23'18.6""","14:50","3.170","0.192"
"3008B60","措没达2","2016/07/05","1雀瞒 吝摸何","127∑29'5.4""","36∑28'37""","15:50","2.223","0.022"
"3008B50","措没达3","2016/07/05","1雀瞒 吝摸何","127∑30'23.8""","36∑30'43.2""","16:10","2.225","0.025"
